install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
47181;14023;1260;1260;540;25436;25136;24467
15985;15664;1260;1260;540;25384;24427;24899
17883;16555;1260;1260;540;25066;24029;23959
17212;14907;1260;1260;540;24252;25007;25184
16457;15978;1260;1260;540;24821;25685;24740
17331;15252;1260;1260;540;25749;25121;24584
17067;15808;1260;1260;540;24652;24655;24319
19599;17378;1260;1260;540;24525;24818;24275
11655;15438;1260;1260;540;24782;25185;24151
15131;15188;1260;1260;540;25124;26043;25241
15163;15221;1260;1260;540;25328;24711;24548
16423;15577;1260;1260;540;25258;25328;24282
14459;14938;1260;1260;540;24400;24330;24335
15921;15931;1260;1260;540;25070;24226;25063
14884;15222;1260;1260;540;24700;24929;25037
19070;16412;1260;1260;540;25121;25325;25378
12623;14692;1260;1260;540;25263;24929;25212
17703;15804;1260;1260;540;25040;24774;25231
14622;15278;1260;1260;540;24844;25045;23709
15422;15067;1260;1260;540;24574;24272;24050
15243;14824;1260;1260;540;24750;23947;24425
15650;15063;1260;1260;540;25192;24432;24293
18208;14780;1260;1260;540;24438;25033;24068
14307;15755;1260;1260;540;25284;24603;24976
18292;14940;1260;1260;540;25449;24399;24969
16560;15813;1260;1260;540;24858;25054;24875
17673;16383;1260;1260;540;25012;24408;24214
19226;14889;1260;1260;540;25253;24952;24698
16733;15957;1260;1260;540;24676;24600;24816
15211;15030;1260;1260;540;24833;24740;24770
16516;15612;1260;1260;540;24467;24543;24266
14505;15338;1260;1260;540;25081;25400;24282
17233;15322;1260;1260;540;24921;24520;23889
16325;15900;1260;1260;540;25761;25161;24757
16804;15488;1260;1260;540;25194;24702;24586
17795;15051;1260;1260;540;24670;25437;25153
15086;15051;1260;1260;540;26393;25520;26251
15992;15645;1260;1260;540;25491;23978;25529
18747;15034;1260;1260;540;25188;24933;24633
20203;15972;1260;1260;540;24613;24997;25088
17768;15746;1260;1260;540;25206;24979;24785
16555;14684;1260;1260;540;26212;24784;25298
15531;16711;1260;1260;540;26236;25263;25079
18070;14473;1260;1260;540;25287;25257;24169
16139;15522;1260;1260;540;25779;25479;25133
15633;15740;1260;1260;540;24330;24688;23441
15392;15451;1260;1260;540;24598;24494;24720
18702;15488;1260;1260;540;25439;24965;24478
15668;15384;1260;1260;540;25670;24891;25372
16550;14775;1260;1260;540;25961;24403;25339
14863;15172;1260;1260;540;25022;24321;24828
15574;15583;1260;1260;540;24207;25411;24903
16051;14266;1260;1260;540;25023;25034;24603
14578;15670;1260;1260;540;25062;24620;24908
14594;15494;1260;1260;540;25412;24769;25051
15109;15902;1260;1260;540;25763;24750;24591
17514;15534;1260;1260;540;25669;25353;25251
15701;15474;1260;1260;540;24261;24600;24716
15040;15301;1260;1260;540;24925;24568;24778
17883;14086;1260;1260;540;25302;24892;24774
14334;15157;1260;1260;540;24775;24877;24615
18041;14741;1260;1260;540;25338;24167;24254
16908;15443;1260;1260;540;25236;25315;25117
17918;15572;1260;1260;540;24469;23945;24853
22016;16586;1260;1260;540;24441;24135;24841
16274;15088;1260;1260;540;25120;25011;24503
17088;15361;1260;1260;540;25592;25002;24285
18097;15456;1260;1260;540;25615;24013;24081
14908;15476;1260;1260;540;25094;25131;24839
15190;15760;1260;1260;540;25130;24559;24472
