install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
92462;8375;2759;1170;540;25812;25621;24728
91650;7785;2759;1170;540;25673;24749;26174
88881;7648;2759;1170;540;25526;24518;25369
94202;7548;2759;1170;540;24920;24844;25382
92904;7881;2759;1170;540;24532;25134;24755
91982;8091;2759;1170;540;24510;25719;24131
96823;7814;2759;1170;540;25818;24797;25465
95937;7542;2759;1170;540;25379;24975;24851
94633;7661;2759;1170;540;25381;25200;23970
93343;7929;2759;1170;540;24616;25393;25982
93486;8249;2759;1170;540;25970;25094;24677
92650;8245;2759;1170;540;26766;24548;24738
93008;8555;2759;1170;540;26109;25572;25111
89338;8399;2759;1170;540;25661;25688;24732
90988;7952;2759;1170;540;25527;24180;25223
91246;8580;2759;1170;540;25041;25400;25423
89166;8214;2759;1170;540;25922;24582;23649
90354;7823;2759;1170;540;24760;25509;23710
90166;8159;2759;1170;540;26603;25303;25172
92498;7589;2759;1170;540;25423;24778;24033
90846;8500;2759;1170;540;25004;23934;24501
90019;8075;2759;1170;540;25762;25135;24538
90827;7593;2759;1170;540;26760;25527;23406
91307;7848;2759;1170;540;25538;25544;24204
92758;7905;2759;1170;540;26709;25096;26102
90403;8159;2759;1170;540;25756;24122;25459
90873;7780;2759;1170;540;25878;24898;24810
91727;7699;2759;1170;540;24727;23795;24531
90271;7805;2759;1170;540;26198;24581;24189
91905;7827;2759;1170;540;25459;24888;24893
89024;7755;2759;1170;540;26095;24787;24670
92241;7910;2759;1170;540;25345;23814;25504
91367;7905;2759;1170;540;25775;25313;25948
90224;7641;2759;1170;540;25961;23811;24262
87917;7624;2759;1170;540;26073;24184;24637
91919;7576;2759;1170;540;26815;24501;25096
92212;8763;2759;1170;540;25516;24874;24174
87755;7637;2759;1170;540;27001;24988;23879
90776;7891;2759;1170;540;25380;24776;24990
92475;7740;2759;1170;540;25578;25330;24357
88834;8077;2759;1170;540;25769;25270;24441
90537;7619;2759;1170;540;24790;24835;24077
90043;8487;2759;1170;540;26592;25562;25024
90530;8408;2759;1170;540;25857;25338;24804
92180;8035;2759;1170;540;25633;24708;24564
90253;8310;2759;1170;540;25391;24638;24982
89687;8026;2759;1170;540;25386;24274;24191
92610;7749;2759;1170;540;25729;25309;24982
88579;8261;2759;1170;540;25886;24874;25011
91913;8359;2759;1170;540;24398;25368;25271
91977;7736;2759;1170;540;26322;24957;25529
92713;7672;2759;1170;540;25653;25578;25483
90062;7726;2759;1170;540;25383;25249;24559
91760;7816;2759;1170;540;24680;25376;24366
92266;7773;2759;1170;540;25446;24802;24231
87918;7994;2759;1170;540;25083;25368;25513
90902;8660;2759;1170;540;26472;26118;25411
89213;7617;2759;1170;540;25537;24642;24074
89678;7526;2759;1170;540;24787;24927;24987
88479;7784;2759;1170;540;25244;24210;24536
91494;7757;2759;1170;540;26874;24987;24657
89440;7679;2759;1170;540;24704;25115;25086
89116;7696;2759;1170;540;25430;24357;24274
91060;7499;2759;1170;540;25287;24067;24407
91073;7614;2759;1170;540;25173;24754;25047
92319;8040;2759;1170;540;26664;23407;25013
88516;7690;2759;1170;540;25440;24629;24341
93339;7895;2759;1170;540;26218;25524;24362
87482;7589;2759;1170;540;25515;25451;24766
89857;7641;2759;1170;540;25769;23819;24405
89007;8313;2759;1170;540;27476;26455;26422
88632;7730;2759;1170;540;25868;24718;23812
