install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
3855;4037;100;100;164;25281;24688;24627
3391;4640;100;100;164;26550;26471;26070
1152;4005;100;100;164;24933;25642;24814
1177;4016;100;100;164;26065;25428;24834
1148;3867;100;100;164;25065;25155;25326
1162;3958;100;100;164;25592;25180;25135
1138;3871;100;100;164;25099;25208;23875
1127;3860;100;100;164;25625;24871;24902
1454;3886;100;100;164;24488;24206;24638
1205;3958;100;100;164;25587;25532;25714
1141;3848;100;100;164;25550;25446;24316
1356;4021;100;100;164;25221;25270;24651
1149;4027;100;100;164;24544;24554;23555
1175;3968;100;100;164;24881;24739;24476
1297;3979;100;100;164;25032;25249;24610
1271;4193;100;100;164;25760;24369;24907
1162;3949;100;100;164;24540;25216;24806
1173;4109;100;100;164;25672;25052;24527
1122;3944;100;100;164;24761;24952;24467
1188;3980;100;100;164;24638;23693;24119
4898;3933;100;100;164;25079;24330;23571
1171;3939;100;100;164;25425;24361;24694
1190;4082;100;100;164;25213;24915;25187
1177;4103;100;100;164;25551;24577;24861
1256;4051;100;100;164;24880;25440;25295
1798;4010;100;100;164;25344;24947;25147
1205;3998;100;100;164;25286;24953;24325
1206;3848;100;100;164;24596;25092;24800
1213;3931;100;100;164;24587;24640;24018
1220;3971;100;100;164;24917;25575;25328
1160;3887;100;100;164;26083;25287;24260
1165;3910;100;100;164;24597;24868;24814
1206;4182;100;100;164;25770;26019;25342
1394;3969;100;100;164;25058;23976;24897
1273;4021;100;100;164;24947;24436;25435
1189;3988;100;100;164;24467;24398;24503
1180;4006;100;100;164;25074;25735;24501
1194;4068;100;100;164;25688;25354;24368
1233;4045;100;100;164;25063;24608;24780
1099;3972;100;100;164;26069;24499;24935
1626;3959;100;100;164;25067;24167;24741
1192;3911;100;100;164;25081;25183;24472
1628;4226;100;100;164;24684;24983;25149
1191;4001;100;100;164;25586;25506;23918
1136;4122;100;100;164;24982;25097;25603
1269;4062;100;100;164;24694;24845;24857
1189;4198;100;100;164;24715;24899;24102
1142;3995;100;100;164;24937;24766;24748
1302;4152;100;100;164;24871;24824;24762
3644;4027;100;100;164;25494;24864;24395
1342;4128;100;100;164;25724;25098;25152
1137;3908;100;100;164;25348;25346;25183
1158;3992;100;100;164;25380;25449;24858
1857;3962;100;100;164;25626;24702;24567
1137;3939;100;100;164;24436;25189;24418
1198;3935;100;100;164;26282;26132;24721
1487;4264;100;100;164;25439;24842;24253
1176;4012;100;100;164;24456;24517;24055
1174;4024;100;100;164;24480;24204;24787
1186;4073;100;100;164;25139;24871;24654
1261;4108;100;100;164;25150;25125;24638
1632;3971;100;100;164;24931;25075;24589
1190;3928;100;100;164;25360;24930;24861
1632;3934;100;100;164;24575;24898;24089
1237;3961;100;100;164;24851;24590;24260
1132;4093;100;100;164;24784;24335;24321
1199;3945;100;100;164;25157;25258;23818
1163;4051;100;100;164;24799;24607;24016
1789;3973;100;100;164;24382;25049;25232
1240;3985;100;100;164;25035;24458;24522
1180;4319;100;100;164;26005;24292;25138
1146;4055;100;100;164;24470;24203;24733
1154;3926;100;100;164;24535;24577;24293
1217;4033;100;100;164;25304;23640;24644
1195;3935;100;100;164;24993;24946;24970
1513;3985;100;100;164;24284;25096;24337
2765;4230;100;100;164;26062;24976;24776
1164;4226;100;100;164;24712;24653;24578
1291;3975;100;100;164;24720;24493;24169
1509;4251;100;100;164;25102;24040;24954
1157;3975;100;100;164;24378;24519;24154
1131;3855;100;100;164;24763;24401;24336
1212;3999;100;100;164;24622;24282;24068
1203;3986;100;100;164;24601;24775;24048
1189;4013;100;100;164;24734;23909;23553
1360;3822;100;100;164;23963;23665;23890
1148;3868;100;100;164;24209;24139;23508
1171;4048;100;100;164;24807;24473;24047
1242;4102;100;100;164;24923;23998;24055
1186;4053;100;100;164;24445;24226;24197
1123;4000;100;100;164;24814;23910;24161
1130;3842;100;100;164;24991;24937;24708
2188;4128;100;100;164;24028;23961;24522
2809;3982;100;100;164;24485;23648;24263
1148;4249;100;100;164;23976;23662;23696
1156;3864;100;100;164;24204;23625;24562
1169;3909;100;100;164;24144;24101;23827
1285;3882;100;100;164;23651;24387;23850
1137;3871;100;100;164;23603;24012;23177
1115;3911;100;100;164;24272;23369;23572
1328;3971;100;100;164;24039;24029;23343
1454;4063;100;100;164;23377;23812;23737
1206;3914;100;100;164;24132;23438;24371
1134;3882;100;100;164;24977;24198;24119
1137;3994;100;100;164;24267;24133;24273
1239;4199;100;100;164;24627;25844;26177
1137;4073;100;100;164;25484;24540;24215
1166;4218;100;100;164;24664;24187;24074
1683;4130;100;100;164;24858;24163;24164
1283;4002;100;100;164;24106;23988;24740
1520;3954;100;100;164;24566;24557;24706
1318;3932;100;100;164;24055;24032;24418
1165;3926;100;100;164;24470;24403;23843
1509;3793;100;100;164;24474;24581;24317
1518;3990;100;100;164;25546;24513;24459
1197;3981;100;100;164;24166;24009;24479
1160;3928;100;100;164;24513;24904;26145
1270;4013;100;100;164;24873;24000;23939
1493;4170;100;100;164;24703;25027;24857
1129;3882;100;100;164;25241;24239;23684
1307;3967;100;100;164;24940;24245;24687
1428;3877;100;100;164;24853;25242;23862
1250;4312;100;100;164;25322;24867;24683
1153;4031;100;100;164;24625;24291;24561
1388;3797;100;100;164;24166;24285;25192
1088;3956;100;100;164;23763;23838;24495
1180;4125;100;100;164;24656;23881;24132
1209;4037;100;100;164;25100;24437;23891
1139;3856;100;100;164;24299;23563;24935
1153;3950;100;100;164;23631;24153;24868
1154;4023;100;100;164;24312;24154;24728
1173;4105;100;100;164;24648;23405;24607
1097;3805;100;100;164;24642;24680;24479
1161;3942;100;100;164;24269;23332;24123
1161;4072;100;100;164;24908;24074;23775
1146;4064;100;100;164;24311;24074;23368
1260;4195;100;100;164;25658;24721;25244
1166;3880;100;100;164;25095;25529;24348
1400;3955;100;100;164;24102;23696;24681
1110;4107;100;100;164;24210;24984;24631
1116;4051;100;100;164;24199;25040;24309
1255;4103;100;100;164;24372;24096;24115
1432;4139;100;100;164;25397;24302;23894
1138;3919;100;100;164;24847;24629;24273
1162;4022;100;100;164;24675;24955;24038
1225;3871;100;100;164;24358;24531;23502
1141;3967;100;100;164;24942;23944;23601
1172;3985;100;100;164;24266;24896;24277
1196;3957;100;100;164;25180;25087;24841
1186;4236;100;100;164;24225;23683;24351
4777;4122;100;100;164;26064;25075;25185
1166;4091;100;100;164;25194;24410;25759
1165;4012;100;100;164;24459;24565;24588
1139;3917;100;100;164;25496;24546;24480
1113;3749;100;100;164;24420;24541;23949
1144;3861;100;100;164;24025;24995;24336
1229;4098;100;100;164;25277;24192;24593
1753;3994;100;100;164;24002;23845;24274
1180;4071;100;100;164;24613;24198;24652
1175;3802;100;100;164;23711;23650;24295
1291;4002;100;100;164;25106;24194;23986
1139;4082;100;100;164;24856;24721;25108
1422;4163;100;100;164;25986;24781;24754
1175;3994;100;100;164;24888;23725;25041
1119;4043;100;100;164;24117;25299;24940
1184;4024;100;100;164;25647;24583;25206
1128;4082;100;100;164;25563;25538;24035
1528;4030;100;100;164;25374;25790;24804
1354;3908;100;100;164;25131;24543;24119
1335;4097;100;100;164;24488;23888;24576
1403;4059;100;100;164;25070;24722;24402
1186;3975;100;100;164;24113;23967;24615
1292;4025;100;100;164;24672;24333;24813
1121;3885;100;100;164;24428;24358;24340
1267;4069;100;100;164;24999;25653;24367
1251;4091;100;100;164;25145;25057;25234
1187;3933;100;100;164;24985;24808;23983
1180;4276;100;100;164;24992;23974;25205
1422;4248;100;100;164;24982;24842;24104
1262;4136;100;100;164;25601;24897;24271
1172;3903;100;100;164;24218;23913;24758
1346;3935;100;100;164;25213;24757;24731
2944;4112;100;100;164;24728;24099;23926
1102;4254;100;100;164;24867;25271;24586
1851;4042;100;100;164;24565;24892;25740
1220;4198;100;100;164;25002;25071;25259
1149;3898;100;100;164;25611;25516;24368
1167;4008;100;100;164;25096;24348;24542
2384;3932;100;100;164;24448;24560;24885
1256;4122;100;100;164;24822;24557;24838
1290;3905;100;100;164;25423;25144;25063
1574;4202;100;100;164;25313;24455;24792
1126;3918;100;100;164;25605;24485;24069
1127;3874;100;100;164;25176;25746;24626
1182;4109;100;100;164;24681;24457;24887
1181;4102;100;100;164;25017;24729;25003
1143;4141;100;100;164;26011;24526;24336
1232;4121;100;100;164;26171;25528;25587
1203;4033;100;100;164;25210;24892;24560
1244;4030;100;100;164;24638;24495;25196
1513;3960;100;100;164;24855;24942;24529
1254;4127;100;100;164;24437;24393;25457
1254;4457;100;100;164;26649;25838;25766
1193;4074;100;100;164;24865;24848;24184
1131;4004;100;100;164;25222;24304;24934
1167;3950;100;100;164;25238;24369;24066
1103;3957;100;100;164;24927;25756;24565
1206;4080;100;100;164;25536;25072;24437
1664;4039;100;100;164;24431;23901;24927
1184;4111;100;100;164;24621;25025;24325
1161;3965;100;100;164;25335;24267;24587
1184;3905;100;100;164;25176;24949;24347
1379;3932;100;100;164;24340;24810;24230
1201;3913;100;100;164;24512;24495;24427
1407;4020;100;100;164;25010;24186;24314
2569;4078;100;100;164;24307;23722;24241
1236;4095;100;100;164;25510;25014;24551
1165;4077;100;100;164;24603;25214;24338
1158;3994;100;100;164;23967;23864;24643
1703;4252;100;100;164;24890;24565;24709
1198;4234;100;100;164;25379;25303;25301
