install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
7239;5660;252;133;116;26237;25211;25115
6886;5088;252;133;116;24150;24323;23582
7171;4940;252;133;116;24876;24713;24174
6641;5317;252;133;116;24910;24193;24193
6616;5000;252;133;116;24729;24898;24515
6569;4949;252;133;116;24397;24382;23898
6686;5090;252;133;116;24015;23967;24245
6775;5010;252;133;116;24111;23694;24414
6464;5047;252;133;116;23459;24799;24704
6618;5000;252;133;116;23944;24752;24193
6550;4921;252;133;116;24304;23944;24245
6642;5124;252;133;116;25160;23698;24977
6594;5102;252;133;116;25973;24569;25021
6578;5246;252;133;116;23960;24367;24239
6564;5038;252;133;116;24485;24141;24611
6718;5231;252;133;116;24607;24689;24754
6819;5009;252;133;116;24263;23783;23821
6933;5129;252;133;116;23792;23954;24918
6586;5045;252;133;116;25139;24360;23157
6635;5338;252;133;116;25784;24833;24228
6924;5280;252;133;116;25099;23560;23716
7230;5260;252;133;116;24340;24293;23445
6852;5049;252;133;116;24825;24951;23822
6674;5063;252;133;116;23943;23561;24277
6750;4874;252;133;116;24415;24550;23948
6776;4876;252;133;116;25008;25056;23838
6504;4999;252;133;116;24060;24618;24453
6826;5036;252;133;116;24009;23886;24260
6557;5107;252;133;116;23774;24214;24374
7063;5063;252;133;116;25382;24313;23952
7023;5038;252;133;116;24184;23734;24204
6889;4970;252;133;116;24537;23837;24348
6437;5052;252;133;116;24647;24560;25326
6538;5231;252;133;116;24424;23600;24252
6806;4993;252;133;116;24930;24485;23480
6584;4947;252;133;116;24583;24603;24161
6576;4966;252;133;116;24588;24763;23581
6739;5093;252;133;116;25009;24935;25521
6653;5326;252;133;116;25690;24494;24974
6557;5114;252;133;116;25104;25090;25059
6624;5031;252;133;116;25142;24119;24391
6618;5225;252;133;116;23578;24546;23700
6907;5218;252;133;116;24525;23909;23662
6522;5082;252;133;116;23647;24781;23780
6714;5266;252;133;116;24638;24186;24151
6574;5060;252;133;116;24399;23175;24221
6904;4964;252;133;116;24704;24259;24484
6698;5233;252;133;116;23990;23784;24222
7123;5139;252;133;116;24918;24888;26219
6916;5026;252;133;116;40025;25118;24685
6612;5054;252;133;116;25331;24380;24432
6605;5074;252;133;116;24818;24682;24445
6906;5030;252;133;116;24264;23992;23889
6651;5034;252;133;116;24733;24823;24309
6536;5112;252;133;116;24357;23842;24255
6685;5175;252;133;116;24748;23384;24046
6945;5009;252;133;116;24753;23832;24241
7001;5099;252;133;116;24366;24105;24313
6593;4952;252;133;116;24341;23075;24024
7137;5011;252;133;116;24519;23674;23227
6491;5036;252;133;116;24238;23633;24587
6689;5057;252;133;116;24549;23664;23739
6696;5151;252;133;116;24406;24042;24443
6584;4890;252;133;116;24461;23204;24085
6538;5082;252;133;116;23898;23664;23936
6729;4951;252;133;116;25001;23820;24158
6643;4920;252;133;116;24411;24143;24127
6601;5081;252;133;116;24172;23955;23262
6542;5013;252;133;116;25492;24540;24357
6672;4996;252;133;116;25812;24040;24614
6794;5655;252;133;116;24448;25421;23350
6763;5188;252;133;116;24479;24270;24899
6708;4970;252;133;116;23398;23585;24103
6817;5261;252;133;116;23137;24108;23770
6657;4972;252;133;116;24039;24173;23650
6542;5127;252;133;116;40023;24351;23552
6651;5049;252;133;116;24088;24325;24630
6586;5466;252;133;116;24754;23411;23480
6616;4904;252;133;116;24971;23490;23294
6586;5067;252;133;116;23852;24134;23510
6703;5416;252;133;116;23360;24025;23735
6532;4940;252;133;116;24401;24106;24173
6654;5166;252;133;116;24064;23951;23134
6826;4931;252;133;116;24652;23990;23511
6816;5132;252;133;116;23566;24107;23945
6591;5046;252;133;116;23538;23851;23526
6788;4975;252;133;116;23759;23403;24149
6719;4949;252;133;116;24235;23742;23538
6610;5060;252;133;116;23631;23398;23777
6533;5120;252;133;116;23817;23475;24161
6922;4963;252;133;116;24085;23405;24030
6546;5019;252;133;116;23516;23501;23702
6760;4881;252;133;116;23252;23969;23418
6627;5142;252;133;116;23746;23780;22990
6641;5019;252;133;116;23512;23100;23321
6523;4883;252;133;116;24236;22977;23281
6550;4930;252;133;116;23672;23312;23558
6626;4913;252;133;116;24325;24191;23471
6575;4945;252;133;116;24049;23674;23012
6686;4908;252;133;116;23603;24687;24266
6766;5051;252;133;116;23350;23616;23403
6753;5077;252;133;116;23107;24255;23376
6830;5043;252;133;116;23126;23172;23047
6730;5039;252;133;116;23399;23648;23611
6926;5013;252;133;116;23536;24106;23482
6860;5262;252;133;116;24026;24001;23956
6977;5368;252;133;116;24638;23658;23829
6622;5074;252;133;116;23911;23482;22836
6620;4937;252;133;116;23455;24148;23394
6841;4908;252;133;116;24003;23583;23758
6892;4933;252;133;116;23768;23764;23459
6665;5096;252;133;116;23413;24399;24452
6715;4958;252;133;116;23925;23625;22997
6896;5288;252;133;116;23933;24034;23523
6835;5116;252;133;116;24692;24495;24276
6578;4846;252;133;116;24491;24221;24058
6516;5080;252;133;116;23295;24811;24249
6595;4955;252;133;116;25351;25260;24486
6640;5039;252;133;116;24253;24139;24886
6492;4915;252;133;116;24015;23436;24424
6537;4976;252;133;116;23794;23411;23823
6895;5178;252;133;116;23879;24617;24047
6675;5117;252;133;116;23475;24331;23867
6638;5081;252;133;116;24434;23468;23472
6636;4991;252;133;116;23692;24052;24337
7083;4874;252;133;116;23950;23073;24135
6662;5242;252;133;116;40027;23439;23673
7048;4976;252;133;116;24428;24008;24560
6616;4934;252;133;116;23564;24563;23668
6622;5314;252;133;116;24677;25119;24014
6599;5094;252;133;116;23162;23084;24352
6502;4932;252;133;116;23890;24541;23938
6589;4885;252;133;116;24849;23168;23111
6706;5039;252;133;116;23473;23291;23808
6621;4930;252;133;116;24023;23978;24260
7002;4880;252;133;116;24821;40023;23523
6435;5030;252;133;116;24000;23574;23406
6823;5007;252;133;116;24974;23086;24225
6731;5193;252;133;116;24368;23452;24347
