install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
26452;27448;914;914;208;24795;24489;24274
14014;29135;914;914;208;25421;24865;26318
12362;27903;914;914;208;24848;24896;24213
7932;30979;914;914;208;24888;24107;24640
11355;29493;914;914;208;25111;24418;24405
7946;29196;914;914;208;25651;24984;24591
8355;28151;914;914;208;25401;25103;24117
8445;29773;914;914;208;24701;24723;23813
8801;28561;914;914;208;24601;24421;24339
7978;27720;914;914;208;23790;23753;25001
8470;29889;914;914;208;24079;25450;23103
8886;28799;914;914;208;23993;25413;24268
8005;30081;914;914;208;26362;25405;24672
8134;28114;914;914;208;25423;24134;24599
11349;28512;914;914;208;25136;25195;23796
7710;28671;914;914;208;25564;23829;23885
9402;30777;914;914;208;24324;23831;24721
8243;28743;914;914;208;25298;24901;24100
8705;28977;914;914;208;24495;23249;24689
9468;30984;914;914;208;25667;23765;25030
8405;29067;914;914;208;24431;24858;23790
6901;29018;914;914;208;24885;23837;23690
9015;27900;914;914;208;25045;23353;24280
9796;28762;914;914;208;24502;23682;23976
6463;30258;914;914;208;24532;24843;24610
8619;29429;914;914;208;25566;23792;24930
9490;31300;914;914;208;25497;23933;23332
8211;29605;914;914;208;24769;25011;24540
9366;28934;914;914;208;24113;24555;23525
8802;29600;914;914;208;23856;24274;23623
10192;29248;914;914;208;24659;23964;24351
7974;29944;914;914;208;25052;24897;25187
8117;28264;914;914;208;25154;24169;24142
9039;30303;914;914;208;25768;24223;24571
7062;29424;914;914;208;25456;23547;24058
9228;29779;914;914;208;24133;24535;25174
8974;29056;914;914;208;25489;24310;24531
7252;29118;914;914;208;25286;24278;24080
9101;28895;914;914;208;24566;23709;24374
9047;31064;914;914;208;24380;23596;24367
7907;29288;914;914;208;24992;24506;24878
8080;29260;914;914;208;25295;24917;25564
9427;28469;914;914;208;26028;24842;24095
7929;29744;914;914;208;25155;24432;24285
9378;31391;914;914;208;25238;24395;23691
8339;28888;914;914;208;25412;23695;25245
11286;29571;914;914;208;24649;23405;24415
9405;27685;914;914;208;24743;24631;24090
10841;29772;914;914;208;25234;24183;24076
9135;30591;914;914;208;25208;24698;25007
13276;29164;914;914;208;25529;24969;24320
7716;29638;914;914;208;26310;25152;24568
9306;31716;914;914;208;24876;24216;23747
9338;28980;914;914;208;25161;23535;24750
8881;28878;914;914;208;24514;24401;24244
10019;29036;914;914;208;24821;24777;24143
10333;28490;914;914;208;26217;24207;24729
9399;30605;914;914;208;25104;25626;26430
9878;28603;914;914;208;24211;24197;24432
9515;28671;914;914;208;24845;23680;23859
10187;29470;914;914;208;24094;24790;24150
9616;28484;914;914;208;26006;24555;24117
10127;28651;914;914;208;24567;24441;24337
9087;30236;914;914;208;25233;23949;23934
8268;28280;914;914;208;24498;23984;24320
6960;30059;914;914;208;24054;24284;23702
8082;28604;914;914;208;24696;24299;23862
7500;28497;914;914;208;24268;24875;24622
12032;28938;914;914;208;24460;23422;23778
8220;29649;914;914;208;25592;23517;24773
8071;30134;914;914;208;25079;24340;24383
10603;28602;914;914;208;24319;24720;24827
9154;31761;914;914;208;24681;24921;24512
6565;28750;914;914;208;23954;24296;23178
9593;30073;914;914;208;24687;24344;23928
8623;29083;914;914;208;24553;23960;24897
10023;29133;914;914;208;23714;24098;24323
9746;28653;914;914;208;24211;23765;24136
9533;30509;914;914;208;24798;24951;24035
10194;27957;914;914;208;24867;23998;23673
10307;28964;914;914;208;25024;24198;24116
7451;28306;914;914;208;25447;24132;23937
9647;29184;914;914;208;25228;24099;24196
10533;29021;914;914;208;24867;23442;24438
10430;28886;914;914;208;24782;24089;23342
10157;29124;914;914;208;23680;24270;24640
9690;29070;914;914;208;24606;24370;24066
9537;28614;914;914;208;24345;24362;22832
8337;29884;914;914;208;23827;24373;24125
7950;31223;914;914;208;25160;23326;23319
7982;28692;914;914;208;24562;23721;23966
8491;30677;914;914;208;23935;23507;23495
8166;28260;914;914;208;25025;23918;24034
8557;29112;914;914;208;24299;23293;23383
9669;28938;914;914;208;24474;22866;23940
10865;28528;914;914;208;24277;23689;23413
9799;28444;914;914;208;24548;23261;23067
9351;29250;914;914;208;23566;23221;23369
11218;29225;914;914;208;24093;24200;23403
9985;29105;914;914;208;24210;24514;23336
10768;29169;914;914;208;24245;23891;23185
10620;28833;914;914;208;23729;23276;22549
11350;28440;914;914;208;23313;23344;22406
9239;27498;914;914;208;23594;23284;22922
8474;28438;914;914;208;23281;23525;23943
10458;28762;914;914;208;24316;23043;23081
12989;28297;914;914;208;24257;23859;23918
9749;29465;914;914;208;24701;24478;23976
9059;30362;914;914;208;25157;23848;24757
9228;29484;914;914;208;24927;24355;23898
9043;27705;914;914;208;24615;23272;23151
8841;27917;914;914;208;24655;23889;23278
9397;29367;914;914;208;24377;23901;23336
8837;28145;914;914;208;24855;23951;23958
9577;28688;914;914;208;24222;23253;24250
7787;29822;914;914;208;25277;25046;23627
9388;29020;914;914;208;24460;24741;24064
9918;28264;914;914;208;26044;25847;25106
10477;29468;914;914;208;24314;23668;24427
9899;30590;914;914;208;24280;24357;24553
10091;29314;914;914;208;24139;24076;23940
9729;29757;914;914;208;25542;24434;24558
11405;28849;914;914;208;25099;24898;24585
10740;27924;914;914;208;24650;24346;24374
11453;29384;914;914;208;24752;24170;24087
9186;29088;914;914;208;24912;24214;23758
9037;29242;914;914;208;24482;23309;23785
9421;28373;914;914;208;25130;23698;24248
11380;28202;914;914;208;24271;23797;23140
12225;28161;914;914;208;24028;24311;23526
10304;29000;914;914;208;25445;23587;23987
10131;29060;914;914;208;23951;23901;24250
11282;28916;914;914;208;24488;24203;23479
9832;29172;914;914;208;25392;24176;23484
10348;29189;914;914;208;24911;23892;24060
10544;31046;914;914;208;25753;24532;23789
9199;29746;914;914;208;25368;24095;23613
