install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
13032;11537;662;662;4;40018;40016;40020
9186;11502;662;662;620;24570;24905;23999
8366;11537;662;662;620;25228;25219;24013
4668;10837;662;662;620;25383;24514;23147
9393;13138;662;662;620;25940;23869;25414
4213;11677;662;662;620;25398;24442;24117
7447;12071;662;662;620;24291;24958;24485
4113;11954;662;662;620;24792;23861;25463
5786;11497;662;662;620;23915;23480;24223
4036;11096;662;662;620;25220;24627;24807
4433;10726;662;662;620;24930;23947;24198
4269;11129;662;662;620;25376;24713;24341
4530;10397;662;662;620;23763;24265;24284
3746;11382;662;662;620;24577;23981;23801
4419;10174;662;662;620;24469;24115;24683
4514;11539;662;662;620;25185;24119;24283
3580;10740;662;662;620;23745;24573;24235
4440;10789;662;662;620;24529;24742;24222
3924;10558;662;662;620;24248;24290;24014
4063;10667;662;662;620;25449;24835;25020
4072;11304;662;662;620;24750;23887;24729
3867;11986;662;662;620;24271;23901;24845
5884;10650;662;662;620;25443;23887;24428
7638;12085;662;662;620;24832;24245;24603
4033;10784;662;662;620;25058;24597;24444
4823;11993;662;662;620;24525;24968;24407
4264;10765;662;662;620;24845;24965;24263
7542;10182;662;662;620;24815;24140;23745
4947;11542;662;662;620;23746;24709;24321
4200;10483;662;662;620;24769;24279;23332
3813;11279;662;662;620;25310;24338;24177
9413;12371;662;662;620;24476;24214;24279
6768;11117;662;662;620;24673;23792;24650
5218;11455;662;662;620;25171;25174;24678
4321;11827;662;662;620;26343;24653;24175
4365;11689;662;662;620;24596;24388;23870
4752;10721;662;662;620;24759;24271;23756
4282;10793;662;662;620;25130;24814;24734
8912;11275;662;662;620;25460;24470;25593
4052;11362;662;662;620;26959;25089;24898
4379;10980;662;662;620;24803;25053;24333
4137;9994;662;662;620;25671;24374;24063
4337;11086;662;662;620;25858;24765;24661
6669;10765;662;662;620;25850;24721;24658
4653;10861;662;662;620;25403;23969;23939
7796;12073;662;662;620;24012;23576;24032
4170;10973;662;662;620;25514;25146;25250
4854;11221;662;662;620;24074;24415;25123
4753;11747;662;662;620;25470;24002;24700
4978;12244;662;662;620;25575;24996;24828
5971;10551;662;662;620;24664;24765;24852
6668;11090;662;662;620;25375;24716;24994
7807;13345;662;662;620;25085;24009;24885
4518;11814;662;662;620;25418;24326;23832
8573;11442;662;662;620;24211;24835;24873
4169;10272;662;662;620;23847;24786;24888
4518;11428;662;662;620;25061;24287;25299
5232;10395;662;662;620;24905;23830;25117
4070;11721;662;662;620;25224;23811;24135
5233;10148;662;662;620;24561;24168;25081
5437;11744;662;662;620;24752;24154;24943
5515;11303;662;662;620;24730;24392;24460
6866;10541;662;662;620;26068;24412;23926
5483;11465;662;662;620;24473;23425;24248
4456;10081;662;662;620;25265;24830;23819
4257;11201;662;662;620;23985;24808;25106
4491;10830;662;662;620;24280;24775;23652
6704;12028;662;662;620;25814;25010;25245
7915;12456;662;662;620;24622;24959;25021
4845;10651;662;662;620;24825;25062;25095
4432;10841;662;662;620;24626;24097;24056
4275;12008;662;662;620;25916;24436;24502
5135;11417;662;662;620;24008;24006;24423
5243;11801;662;662;620;24290;23716;24249
7000;11035;662;662;620;25135;23775;24395
4330;11457;662;662;620;25222;23865;23515
4672;11224;662;662;620;25295;24697;23936
5414;11412;662;662;620;25005;24092;24578
4316;10878;662;662;620;24391;25086;23936
6460;12231;662;662;620;27531;24694;24810
5519;10501;662;662;620;24221;24679;23544
4299;10752;662;662;620;25056;24626;24048
8002;11998;662;662;620;24396;23630;24062
7330;11587;662;662;620;24748;23307;24155
6218;11145;662;662;620;24245;24105;24576
4247;10305;662;662;620;24126;23856;23571
8986;12135;662;662;620;24276;24535;23587
4405;10450;662;662;620;23427;24332;24165
3926;10633;662;662;620;23832;24458;23895
7576;11000;662;662;620;24329;24894;24443
4034;11886;662;662;620;24043;24100;24486
6183;10449;662;662;620;24824;23660;23874
4576;11712;662;662;620;24723;23757;23381
4559;10849;662;662;620;24019;24490;24149
3888;10946;662;662;620;24224;23995;23344
9996;12139;662;662;620;23883;23513;23410
3453;11169;662;662;620;24840;23712;23543
4143;11422;662;662;620;23860;24876;23689
