install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
62093;25686;1894;834;208;25622;24793;24420
61148;23725;1894;834;208;24038;24970;23485
59327;24690;1894;834;208;25570;24919;24593
59980;23417;1894;834;208;25310;24531;24692
61183;24049;1894;834;208;25844;24570;24557
60792;23932;1894;834;208;24728;24124;24199
60894;23189;1894;834;208;24585;25165;23819
58747;23017;1894;834;208;24978;23857;24821
61495;23065;1894;834;208;25165;24186;24275
65401;24086;1894;834;208;25950;23928;24278
65036;23314;1894;834;208;25094;24558;24754
61900;23306;1894;834;208;25129;24601;25262
63158;23413;1894;834;208;24739;25083;26118
66649;24041;1894;834;208;25653;24402;24741
64645;23056;1894;834;208;25050;24635;24601
65194;23112;1894;834;208;23797;25551;24376
62196;23897;1894;834;208;24360;24410;24548
63558;25602;1894;834;208;25677;25488;24336
66299;22925;1894;834;208;24626;24470;24258
65376;22997;1894;834;208;25014;24684;24244
66437;23108;1894;834;208;24866;24283;25015
64652;23762;1894;834;208;24433;24416;24036
62502;22902;1894;834;208;25767;24003;24345
62658;25436;1894;834;208;24969;24330;24090
66146;23147;1894;834;208;25335;24080;24575
66719;22698;1894;834;208;24973;24270;24635
64010;22875;1894;834;208;25333;25493;23568
62313;23053;1894;834;208;25092;24517;23948
60037;23062;1894;834;208;24610;25045;24174
62222;22939;1894;834;208;24958;24553;24565
61708;23998;1894;834;208;25376;24199;24090
61874;23010;1894;834;208;24909;24574;25436
65513;23774;1894;834;208;26224;24259;24169
64462;23197;1894;834;208;25465;24990;23130
62831;23773;1894;834;208;26046;24735;23627
66269;22700;1894;834;208;25553;24284;23829
62997;23063;1894;834;208;24906;24429;24346
65946;22872;1894;834;208;25272;24258;24892
64601;23038;1894;834;208;25097;24638;24751
65791;23553;1894;834;208;25635;24934;25309
64442;23952;1894;834;208;26545;25618;24562
65984;23504;1894;834;208;25443;23992;23562
60236;23324;1894;834;208;24871;24310;24707
62870;23939;1894;834;208;25687;24591;24091
63135;22736;1894;834;208;24755;24524;23666
66251;23150;1894;834;208;26449;24557;25002
60319;22953;1894;834;208;26531;25594;23768
65889;23996;1894;834;208;25819;24288;24512
63217;23604;1894;834;208;25165;24381;24633
66193;23229;1894;834;208;25831;24530;25286
63507;23256;1894;834;208;26732;24072;24837
65859;22736;1894;834;208;24852;24463;24599
63656;24024;1894;834;208;25444;25166;24651
63735;23863;1894;834;208;25151;25054;24341
67063;23639;1894;834;208;24674;23992;24460
64465;23571;1894;834;208;25495;23978;25099
63260;25391;1894;834;208;24805;24867;24114
63543;23159;1894;834;208;25451;24723;25016
60232;23102;1894;834;208;25292;23903;23910
62921;22995;1894;834;208;25293;24494;24352
65081;23446;1894;834;208;25917;24652;24847
64104;23419;1894;834;208;24419;24284;23927
64015;23297;1894;834;208;24877;23537;24105
60979;23152;1894;834;208;25112;24136;24716
63361;23286;1894;834;208;25649;25324;24568
63565;23127;1894;834;208;24741;23873;24448
60695;22920;1894;834;208;24495;23603;24362
63334;23459;1894;834;208;25804;24115;23696
63118;22853;1894;834;208;24649;24710;24146
65583;22868;1894;834;208;24814;24132;25009
64038;23342;1894;834;208;24896;25462;24704
63803;24179;1894;834;208;25684;24209;24403
65283;22747;1894;834;208;25334;24394;24091
63575;22736;1894;834;208;25931;24331;23274
65053;23547;1894;834;208;24538;23815;23661
64172;22731;1894;834;208;24249;24694;23988
63670;22902;1894;834;208;25744;24241;24161
65372;23570;1894;834;208;25173;24608;23900
59005;22963;1894;834;208;25077;23411;23724
63450;22910;1894;834;208;24276;24001;23527
63373;23173;1894;834;208;24878;23898;24286
61337;22743;1894;834;208;24863;24618;24396
64966;24067;1894;834;208;25443;23578;23751
64247;23144;1894;834;208;23963;24024;24310
60479;23091;1894;834;208;25554;24229;24446
63942;23077;1894;834;208;23937;24633;23755
61479;22920;1894;834;208;24588;24156;23952
63516;23252;1894;834;208;23823;23461;23318
63875;23040;1894;834;208;23969;24760;23837
63706;23104;1894;834;208;23582;23600;22832
61963;24293;1894;834;208;24671;23717;23296
62324;23592;1894;834;208;25011;24452;24397
59760;23103;1894;834;208;25244;24004;23838
60624;23067;1894;834;208;23993;22994;22937
65220;22760;1894;834;208;23534;23443;23482
65973;22608;1894;834;208;24500;23309;23412
64192;22781;1894;834;208;23360;23621;23338
64591;22664;1894;834;208;24344;23132;22829
62389;22915;1894;834;208;23410;24398;23381
