install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
24196;8242;820;820;224;25148;23843;24340
6884;9370;820;820;224;24951;24106;24563
6382;9927;820;820;224;25117;24822;24621
6367;8592;820;820;224;26341;25778;24926
6674;8839;820;820;224;26321;24694;24916
6736;9127;820;820;224;25418;25189;23354
6588;8985;820;820;224;25177;25058;24875
7017;10247;820;820;224;25148;24857;24779
6760;8679;820;820;224;25142;24103;24115
7194;8876;820;820;224;24592;24953;24730
7264;9426;820;820;224;25927;25882;24980
7500;9061;820;820;224;26743;24776;24392
7446;10063;820;820;224;25849;24877;25302
6202;8868;820;820;224;25524;24291;24052
7074;8828;820;820;224;25838;24789;24304
7059;9174;820;820;224;25358;23686;24558
6594;8424;820;820;224;25414;23723;24429
7139;9101;820;820;224;24755;24371;23585
6746;8771;820;820;224;24482;24808;24897
7006;9359;820;820;224;25074;24952;24061
7581;8954;820;820;224;24701;24252;24108
6962;10732;820;820;224;24225;24180;23641
5973;8680;820;820;224;25128;23774;24329
7554;8726;820;820;224;24817;24399;25287
6987;8776;820;820;224;24478;25197;25560
7011;9694;820;820;224;25212;25174;25033
6858;8719;820;820;224;25316;25381;24609
6371;8830;820;820;224;24508;24721;24590
6962;8644;820;820;224;24213;24485;24710
7499;8872;820;820;224;24505;24345;23624
7058;8799;820;820;224;26267;24332;24389
7574;9337;820;820;224;24690;23926;24617
7571;9721;820;820;224;24136;23957;24646
7001;8786;820;820;224;25253;24738;24381
6749;9479;820;820;224;25718;24826;24762
6161;9011;820;820;224;25240;24301;25392
7624;8888;820;820;224;24831;24096;25210
6985;8775;820;820;224;26197;25026;24372
7086;8615;820;820;224;25549;24534;25358
6475;8683;820;820;224;25948;25933;26388
6913;9495;820;820;224;24458;24664;25221
7208;8752;820;820;224;25279;25335;23621
7784;9188;820;820;224;24608;24444;23978
7712;9189;820;820;224;25272;24110;24367
7551;10088;820;820;224;25283;24602;24591
7443;9789;820;820;224;24768;24048;24131
6840;9308;820;820;224;25692;25380;25167
7101;8939;820;820;224;25200;24064;24250
7165;9440;820;820;224;26409;25195;24376
6750;8763;820;820;224;24894;24612;24274
7006;8926;820;820;224;25267;24418;24467
6927;8665;820;820;224;25691;25283;24798
6779;9302;820;820;224;26675;25566;25369
7363;9161;820;820;224;24062;24463;24085
7172;9230;820;820;224;24577;24116;24872
7205;8896;820;820;224;24741;25121;25222
6988;9058;820;820;224;25490;25089;24994
6895;8738;820;820;224;24401;24458;24281
6595;8690;820;820;224;25021;23527;24317
7717;9130;820;820;224;24998;24484;24785
6907;8524;820;820;224;25961;23905;24862
7215;8881;820;820;224;25802;24165;24857
6212;8619;820;820;224;25885;24107;24460
6672;9864;820;820;224;24236;24221;24163
6612;9204;820;820;224;24037;23967;24314
6846;8494;820;820;224;25524;24086;24427
7381;9247;820;820;224;24298;24897;24323
6976;8807;820;820;224;25813;23834;24266
7584;9057;820;820;224;24617;24166;24801
7931;9588;820;820;224;24622;24368;24231
5971;8894;820;820;224;25918;24710;25770
6928;9111;820;820;224;24588;25129;25205
7227;8829;820;820;224;24559;24521;24742
7165;8728;820;820;224;25111;24508;24554
7456;9480;820;820;224;23691;23724;24234
7563;8802;820;820;224;26251;24365;24681
8711;10381;820;820;224;24595;24552;24001
7895;10744;820;820;224;27148;25791;25358
7313;8735;820;820;224;24009;24773;24204
7009;8773;820;820;224;24689;24671;24538
6859;9264;820;820;224;24706;23925;24091
7552;9807;820;820;224;24244;24079;24357
7177;9368;820;820;224;24770;23870;24716
7040;8911;820;820;224;24417;24096;24354
6744;9234;820;820;224;24183;24815;24279
7441;8958;820;820;224;24751;24149;23544
