install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
38297;24596;621;296;404;26611;25014;24992
37835;24741;621;296;404;25694;25643;24851
37356;24836;621;296;404;26101;24317;25101
37468;24160;621;296;404;25683;25198;25038
37275;24144;621;296;404;25687;25392;25075
37624;24907;621;296;404;26624;25054;25359
37376;23987;621;296;404;26393;25816;25298
38953;24797;621;296;404;26605;25281;25382
36874;24213;621;296;404;25315;25384;25114
37197;23587;621;296;404;25926;24949;25883
36978;23910;621;296;404;26409;24835;25604
37291;24294;621;296;404;25903;25126;25909
37332;25207;621;296;404;26701;25361;25097
37491;23934;621;296;404;26626;24669;24952
39928;23916;621;296;404;26488;24310;25168
39981;23926;621;296;404;26632;25841;24637
37839;24032;621;296;404;26891;25284;25245
37870;24131;621;296;404;25861;24800;24968
38197;24368;621;296;404;26188;25342;25022
37887;24509;621;296;404;25740;24930;24845
38202;24104;621;296;404;25162;25668;24448
38769;24335;621;296;404;25058;24704;24941
38928;24252;621;296;404;25290;24433;24901
38811;24353;621;296;404;25588;25440;25585
38311;23813;621;296;404;26466;25255;25983
38732;24722;621;296;404;26378;26021;25862
38998;24813;621;296;404;27925;25260;25155
38583;23828;621;296;404;26844;24921;25060
39227;25347;621;296;404;26012;25081;25308
38463;24180;621;296;404;25871;24754;25243
39046;24233;621;296;404;25196;24993;25999
38746;24721;621;296;404;26876;24659;24858
39529;25146;621;296;404;27312;24778;25106
38596;24552;621;296;404;26197;25801;25404
38986;24552;621;296;404;25166;25562;25190
40196;24702;621;296;404;26577;24942;25065
38727;26134;621;296;404;26151;25922;26389
38868;24297;621;296;404;26359;24845;26011
38796;24809;621;296;404;25912;25744;25390
38888;24415;621;296;404;26852;25761;24517
38984;24062;621;296;404;25970;24989;25441
38380;25334;621;296;404;25585;25516;24837
38434;24336;621;296;404;26090;25827;25949
38713;25849;621;296;404;26155;25013;25212
38401;25277;621;296;404;27037;26431;25929
38505;24159;621;296;404;26495;25325;25346
38268;24347;621;296;404;25650;25026;24464
38662;25420;621;296;404;26922;25550;25275
38330;26655;621;296;404;27139;26440;25689
38352;24546;621;296;404;26567;26111;25393
39215;25243;621;296;404;26659;25982;25137
39360;23772;621;296;404;25771;25631;24895
