install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
5043;33961;549;269;404;0;0;0
5276;34409;549;269;404;0;0;0
5492;37371;549;269;404;0;0;0
5823;35255;549;269;404;0;0;0
4993;35364;549;269;404;0;0;0
5376;36312;549;269;404;0;0;0
5662;35697;549;269;404;0;0;0
5165;34945;549;269;404;0;0;0
5467;36972;549;269;404;0;0;0
5378;35793;549;269;404;0;0;0
5528;35900;549;269;404;0;0;0
5471;36981;549;269;404;0;0;0
5370;35114;549;269;404;0;0;0
5164;34383;549;269;404;0;0;0
4909;36865;549;269;404;0;0;0
5204;35462;549;269;404;0;0;0
4820;34960;549;269;404;0;0;0
4752;35233;549;269;404;0;0;0
5317;36838;549;269;404;0;0;0
5216;34147;549;269;404;0;0;0
5122;34511;549;269;404;0;0;0
5064;37855;549;269;404;0;0;0
5002;35385;549;269;404;0;0;0
5008;35630;549;269;404;0;0;0
5200;36256;549;269;404;0;0;0
5550;35040;549;269;404;0;0;0
5423;36146;549;269;404;0;0;0
6055;39148;549;269;404;0;0;0
4931;35327;549;269;404;0;0;0
5566;35815;549;269;404;0;0;0
5533;37112;549;269;404;0;0;0
5633;35743;549;269;404;0;0;0
5200;35349;549;269;404;0;0;0
5350;38913;549;269;404;0;0;0
5116;37249;549;269;404;0;0;0
5366;36032;549;269;404;0;0;0
5223;37432;549;269;404;0;0;0
5704;36860;549;269;404;0;0;0
5282;35997;549;269;404;0;0;0
5749;39176;549;269;404;0;0;0
4935;35300;549;269;404;0;0;0
5435;36723;549;269;404;0;0;0
5415;37050;549;269;404;0;0;0
5284;36351;549;269;404;0;0;0
4999;38164;549;269;404;0;0;0
5221;36982;549;269;404;0;0;0
5419;37433;549;269;404;0;0;0
5355;37067;549;269;404;0;0;0
5700;37399;549;269;404;0;0;0
5464;38547;549;269;404;0;0;0
5410;38455;549;269;404;0;0;0
5336;37744;549;269;404;0;0;0
5594;37228;549;269;404;0;0;0
5283;38000;549;269;404;0;0;0
5077;35878;549;269;404;0;0;0
5500;37250;549;269;404;0;0;0
5921;41675;549;269;404;0;0;0
5586;38194;549;269;404;0;0;0
5715;37970;549;269;404;0;0;0
5443;38123;549;269;404;0;0;0
5914;38987;549;269;404;0;0;0
5309;36332;549;269;404;0;0;0
5960;38156;549;269;404;0;0;0
5775;37746;549;269;404;0;0;0
4870;34961;549;269;404;0;0;0
5180;36928;549;269;404;0;0;0
5477;37217;549;269;404;0;0;0
