svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14494;13869;13662;14127;14101;14363;15092;15277;15242;15230;15077;15344;15262;15292;15434;14515;14532;14592;14431;14530;14604;15329;15285;15368
14925;14151;14212;13875;14070;14020;15354;15300;15194;15351;15201;15269;15603;15421;15293;14560;14613;14702;14584;14187;14371;15371;15397;15364
14443;13924;14139;14144;14231;13857;15278;15291;15241;15422;15201;15397;15301;15456;15295;14425;14443;14416;14690;14530;14528;15499;15452;15459
14248;14024;14101;14234;14052;14066;15163;15245;15285;15266;15141;15193;15474;15107;15356;14535;14602;14413;14412;14688;14809;15347;15491;15450
14436;13935;14263;14334;14073;14207;15180;15327;15326;15338;15152;15379;15402;15269;15497;14603;14710;14555;14768;14723;14635;15357;15411;15354
14370;14133;13961;14240;14193;14024;15216;15181;15320;15320;15422;15365;15222;15263;15336;14681;14347;14575;14426;14312;14328;15271;15148;15460
14255;14139;14264;13892;13310;13914;15282;15066;15174;15105;15211;15213;15080;15198;14169;14288;14464;14502;14711;14294;14438;15201;15265;15359
14262;14004;14175;14087;14144;14001;14938;15198;15382;15243;14847;15111;15316;15337;15302;14739;14296;14349;14616;14592;14540;15504;15412;15354
14124;14017;13923;14120;14144;14228;15360;15148;15301;15389;15163;15443;15413;15356;15273;14551;14491;14323;14483;14573;14637;15204;15349;15466
14338;14123;13777;14222;14160;14089;15371;15294;15219;15365;15287;15264;15280;15358;15509;14552;14490;14446;14490;14605;14542;15512;15314;15500
14512;13907;13955;14018;14256;14116;15263;15179;15118;15289;15177;15211;15406;15474;15338;14750;14456;14560;14825;14264;14270;15441;15384;15180
14667;14216;14068;14018;14179;14088;15412;14601;15164;15361;15389;15206;15056;15273;15547;14494;14325;14225;14382;14541;14497;15376;15387;15324
14046;14098;14096;14152;14193;13862;15319;15300;15108;15201;15291;15323;15454;15040;15195;14409;14532;14507;14544;14284;14376;15331;15381;15251
14627;13886;13493;14096;14141;14341;15280;15056;15247;15271;15135;14794;15472;14857;15342;14336;14493;14755;14156;14584;14546;15320;15302;14809
14816;13921;14095;14256;13987;14166;15211;15141;15119;15127;15305;15059;15607;15300;15318;14497;14566;14512;14581;14614;14626;15272;15358;15408
14276;14043;13952;14048;14280;14159;15203;15410;15335;15227;15471;15369;15402;15271;15337;14599;14519;14778;14385;14452;14678;15420;15414;15410
14500;14012;14023;14007;14015;14016;15394;15339;15287;15350;15398;15173;15438;15415;15517;14538;14596;14486;14503;14739;14497;15463;15363;15455
14282;14016;13906;14385;14053;14099;15399;15352;15279;15297;15249;15316;15475;15462;15389;14473;14549;14767;14454;14606;14584;14670;15447;15020
14272;14077;14142;14089;14244;14175;15376;15149;15325;15255;15247;15409;15518;15104;15284;14516;14113;14646;13993;14661;14308;15417;15422;15339
15450;14158;14315;14199;14225;14257;15446;14763;15227;15268;14775;15377;14512;15382;15185;14459;14378;14639;14642;14491;14633;15658;15393;15291
14415;13876;14266;14281;14095;13228;15383;15326;15304;15348;15182;15329;15210;15505;15319;14642;14428;14478;14080;14736;14446;14951;14976;15420
14213;13907;14190;14361;14176;14101;15416;15411;15291;15402;15338;15247;15292;15240;15379;14627;14405;14473;14510;14491;14543;15495;15324;15308
14443;14019;13997;14065;14107;14104;15391;15309;15315;15252;15325;15393;15428;15319;15394;14563;14416;14639;14562;14699;14553;15487;15307;15319
14322;14055;14000;14281;14276;14005;15300;15125;15422;15377;15182;15230;15349;15476;15324;14498;14414;14603;14559;14616;14021;15169;15072;15359
14354;13971;14107;14191;14291;14067;15233;15449;14954;15250;14710;15287;15533;15438;15331;13545;14208;14355;14429;14535;14339;14744;15153;15509
15311;13476;14062;14089;14080;14251;15250;15359;15240;15178;15127;15207;15162;15376;15255;14266;14308;14315;14028;14573;14518;15216;15328;15411
